tx_base,tx_slope,dtx_base,dtx_slope,rx_base,rx_slope,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,n_seeds,fate_tracked,fate_delivered,fate_lost,lost_mean_collision,lost_mean_drop
0.0,0.0,0.0,0.0,0.0,0.0,69.3,1.6,68,72,208,300,2.7,50.7,6,300,206,94,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.3,66.7,1.6,64,68,200,300,4.0,53.7,6,300,198,102,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.6,69.3,1.6,68,72,208,300,2.7,50.7,6,300,206,94,1.0,0.0
0.0,0.0,0.0,0.0,2.0,0.0,69.3,1.6,68,72,208,300,2.7,50.7,6,300,206,94,1.0,0.0
0.0,0.0,0.0,0.0,2.0,0.3,69.3,1.6,68,72,208,300,2.7,50.7,6,300,206,94,1.0,0.0
0.0,0.0,0.0,0.0,2.0,0.6,69.3,1.6,68,72,208,300,2.7,50.7,6,300,206,94,1.0,0.0
0.0,0.0,0.0,0.0,4.0,0.0,69.3,1.6,68,72,208,300,2.7,50.7,6,300,206,94,1.0,0.0
0.0,0.0,0.0,0.0,4.0,0.3,69.3,1.6,68,72,208,300,2.7,50.7,6,300,206,94,1.0,0.0
0.0,0.0,0.0,0.0,4.0,0.6,69.3,1.6,68,72,208,300,2.7,50.7,6,300,206,94,1.0,0.0
0.0,0.0,0.0,0.0,6.0,0.0,69.3,1.6,68,72,208,300,2.7,50.7,6,300,206,94,1.0,0.0
0.0,0.0,0.0,0.0,6.0,0.3,69.3,1.6,68,72,208,300,2.7,50.7,6,300,206,94,1.0,0.0
0.0,0.0,0.0,0.0,6.0,0.6,69.3,1.6,68,72,208,300,2.7,50.7,6,300,206,94,1.0,0.0
0.0,0.0,0.0,0.3,0.0,0.0,70.0,1.8,68,72,210,300,2.0,49.7,6,300,208,92,1.0,0.0
0.0,0.0,0.0,0.3,0.0,0.3,67.0,2.1,64,70,201,300,2.7,53.7,6,300,198,102,0.9,0.0
0.0,0.0,0.0,0.3,0.0,0.6,70.0,1.8,68,72,210,300,2.0,49.7,6,300,208,92,1.0,0.0
0.0,0.0,0.0,0.3,2.0,0.0,70.0,1.8,68,72,210,300,2.0,49.7,6,300,208,92,1.0,0.0
0.0,0.0,0.0,0.3,2.0,0.3,70.0,1.8,68,72,210,300,2.0,49.7,6,300,208,92,1.0,0.0
0.0,0.0,0.0,0.3,2.0,0.6,70.0,1.8,68,72,210,300,2.0,49.7,6,300,208,92,1.0,0.0
0.0,0.0,0.0,0.3,4.0,0.0,70.0,1.8,68,72,210,300,2.0,49.7,6,300,208,92,1.0,0.0
0.0,0.0,0.0,0.3,4.0,0.3,70.0,1.8,68,72,210,300,2.0,49.7,6,300,208,92,1.0,0.0
0.0,0.0,0.0,0.3,4.0,0.6,70.0,1.8,68,72,210,300,2.0,49.7,6,300,208,92,1.0,0.0
0.0,0.0,0.0,0.3,6.0,0.0,70.0,1.8,68,72,210,300,2.0,49.7,6,300,208,92,1.0,0.0
0.0,0.0,0.0,0.3,6.0,0.3,70.0,1.8,68,72,210,300,2.0,49.7,6,300,208,92,1.0,0.0
0.0,0.0,0.0,0.3,6.0,0.6,70.0,1.8,68,72,210,300,2.0,49.7,6,300,208,92,1.0,0.0
0.0,0.0,0.0,0.6,0.0,0.0,69.7,1.5,68,72,209,300,1.7,50.0,6,300,206,94,1.0,0.0
0.0,0.0,0.0,0.6,0.0,0.3,67.0,2.1,64,70,201,300,2.7,53.7,6,300,197,103,0.9,0.0
0.0,0.0,0.0,0.6,0.0,0.6,69.7,1.5,68,72,209,300,1.7,50.0,6,300,206,94,1.0,0.0
0.0,0.0,0.0,0.6,2.0,0.0,69.7,1.5,68,72,209,300,1.7,50.0,6,300,206,94,1.0,0.0
